molecule_chembl_id,IC50,units,smiles,pIC50
CHEMBL2441741,230.0,nM,CC(C)C[C@H](NC(=O)[C@H](Cc1cccc2ccccc12)NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,6.638272163982407
CHEMBL221366,500.0,nM,O=C(Oc1cccnc1)c1cccs1,6.301029995663981
CHEMBL2441745,610.0,nM,CC(C)C[C@H](NC(=O)[C@H](Cc1cccc2ccccc12)NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NC(C)C,6.214670164989233
CHEMBL1876821,940.0,nM,CN(CC(=O)NC1CCCC1)S(=O)(=O)c1cccc(Cl)c1,6.026872146400301
CHEMBL3099526,1040.0,nM,CC1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3C)CC1,5.982966660701219
CHEMBL3099541,1180.0,nM,CC1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3)CC1,5.928117992693874
CHEMBL3099527,1690.0,nM,CC1CCN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3Cc2ccccc2)CC1,5.772113295386326
CHEMBL478119,2000.0,nM,CCN1/C(=C\C=C\C2=C/C(=C/c3sc4ccccc4[n+]3CC)CC(C)C2)Sc2ccccc21,5.698970004336019
CHEMBL4214066,2100.0,nM,CC(C)C[C@H](NC(=O)OC1CCN(C(=O)OC(C)(C)C)CC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,5.6777807052660805
CHEMBL3099542,2250.0,nM,CC1CCCCN1S(=O)(=O)c1ccc2c(c1)C(=O)C(=O)N2,5.647817481888637
CHEMBL541163,2500.0,nM,CCN1/C(=C\C=C\c2sc3ccc(-c4nc5ccccc5s4)cc3[n+]2CC)Sc2ccc(-c3nc4ccccc4s3)cc21.[Cl-],5.6020599913279625
CHEMBL1092796,2600.0,nM,CC1=CC[C@]2(C)CC[C@]3(C)C4=CC=C5C(=CC(=O)C(O)=C5C)[C@]4(C)CC[C@@]3(C)[C@@H]2C1,5.585026652029182
CHEMBL3099529,2820.0,nM,CC1CC(C)CN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3C)C1,5.549750891680639
CHEMBL4217568,3200.0,nM,CCOC(=O)N1CCC(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)C[C@@H]2CCNC2=O)CC1,5.494850021680094
CHEMBL540403,3800.0,nM,CCN1C(c2ccccc2)=C(c2ccccc2)S/C1=C/C=C/c1sc2c3ccccc3ccc2[n+]1CC.[Cl-],5.42021640338319
CHEMBL4214471,3900.0,nM,CC(C)C[C@H](NC(=O)OC1(Cc2ccccc2)CCN(S(C)(=O)=O)CC1)C(=O)N[C@H](C=O)C[C@@H]1CCNC1=O,5.4089353929735005
CHEMBL4216101,4100.0,nM,CCC1(OC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(O)S(=O)(=O)[O-])CCN(C(=O)OC(C)(C)C)CC1.[Na+],5.3872161432802645
CHEMBL3099543,4300.0,nM,CC1CC(C)CN(S(=O)(=O)c2ccc3c(c2)C(=O)C(=O)N3)C1,5.366531544420413
